tag_id,name,human_category,category,count,wd14index,ticks
9999999,general,01_META,9,1589178,1,1
9999998,sensitive,01_META,9,3994361,2,1
9999997,questionable,01_META,9,892496,3,1
9999996,explicit,01_META,9,706509,4,1
470575,1girl,04_PEOPLE,0,5113288,5,1
212816,solo,02_COMPOSITION,0,4253220,6,1
13197,long_hair,08_ANATOMY,0,3645082,7,1
8601,breasts,08_ANATOMY,0,2889545,8,1
469576,looking_at_viewer,11_PROMPT,0,2696730,9,1
3389,blush,07_EXPRESSIONS,0,2496356,10,1
1815,smile,07_EXPRESSIONS,0,2365730,11,1
11906,open_mouth,07_EXPRESSIONS,0,1950469,12,1
15080,short_hair,08_ANATOMY,0,1904624,13,1
10959,blue_eyes,08_ANATOMY,0,1490640,14,1
412368,simple_background,02_COMPOSITION,0,1420030,15,1
12590,shirt,09_CLOTHING,0,1382452,16,1
403247,large_breasts,08_ANATOMY,0,1333379,17,1
429,skirt,09_CLOTHING,0,1328225,18,1
87788,blonde_hair,08_ANATOMY,0,1311581,19,1
566835,multiple_girls,02_COMPOSITION,0,1309199,20,1
16867,brown_hair,08_ANATOMY,0,1267072,21,1
13200,black_hair,08_ANATOMY,0,1225953,22,1
383159,long_sleeves,09_CLOTHING,0,1199349,23,1
380350,hair_ornament,10_ACCESSORIES,0,1175185,24,1
515193,white_background,02_COMPOSITION,0,1161729,25,1
540830,1boy,04_PEOPLE,0,1129709,26,1
5735,gloves,09_CLOTHING,0,1113040,27,1
8526,red_eyes,08_ANATOMY,0,1081613,28,1
2241,dress,09_CLOTHING,0,1046050,29,1
1882,thighhighs,09_CLOTHING,0,1034635,30,1
2373,hat,09_CLOTHING,0,1034610,31,1
375387,holding,06_POSE,0,1022399,32,1
4563,bow,09_CLOTHING,0,984380,33,1
9294,navel,08_ANATOMY,0,974528,34,1
6126,animal_ears,08_ANATOMY,0,950191,35,1
464575,ribbon,09_CLOTHING,0,937186,36,1
658573,hair_between_eyes,06_POSE,0,922798,37,1
572080,closed_mouth,06_POSE,0,876401,38,1
1821,2girls,04_PEOPLE,0,860944,39,1
4607,cleavage,08_ANATOMY,0,848453,40,1
16613,jewelry,10_ACCESSORIES,0,829749,41,1
376054,bare_shoulders,08_ANATOMY,0,815753,42,1
417660,very_long_hair,08_ANATOMY,0,783428,43,1
12289,sitting,06_POSE,0,782247,44,1
1709,twintails,08_ANATOMY,0,770972,45,1
667868,medium_breasts,08_ANATOMY,0,770389,46,1
16578,brown_eyes,08_ANATOMY,0,747352,47,1
15675,standing,06_POSE,0,733225,48,1
8889,nipples,08_ANATOMY,0,717669,49,1
10960,green_eyes,08_ANATOMY,0,711390,50,1
464906,underwear,09_CLOTHING,0,706352,51,1
10953,blue_hair,08_ANATOMY,0,704952,52,1
3843,jacket,09_CLOTHING,0,700303,53,1
16509,school_uniform,09_CLOTHING,0,688100,54,1
15654,purple_eyes,08_ANATOMY,0,669153,55,1
466499,collarbone,08_ANATOMY,0,655630,56,1
15674,tail,08_ANATOMY,0,634183,57,1
376766,white_shirt,09_CLOTHING,0,629056,58,1
608813,full_body,02_COMPOSITION,0,624413,59,1
547463,upper_body,02_COMPOSITION,0,595301,60,1
391,panties,09_CLOTHING,0,580171,61,1
465619,closed_eyes,06_POSE,0,570045,62,1
89189,yellow_eyes,08_ANATOMY,0,565375,63,1
444,swimsuit,09_CLOTHING,0,564464,64,1
16581,white_hair,08_ANATOMY,0,563701,65,1
11429,pink_hair,08_ANATOMY,0,551851,66,1
1681,monochrome,02_COMPOSITION,0,547787,67,1
16580,grey_hair,08_ANATOMY,0,529760,68,1
3522,ahoge,08_ANATOMY,0,528662,69,1
4334,braid,08_ANATOMY,0,525679,70,1
464561,hair_ribbon,10_ACCESSORIES,0,525639,71,1
16442,purple_hair,08_ANATOMY,0,524002,72,1
1300281,male_focus,02_COMPOSITION,0,516211,73,1
2355,ponytail,08_ANATOMY,0,514797,74,1
8101,ass,08_ANATOMY,0,513666,75,1
